31,6,Retinal Diseases,OPHT-2016-001,"MD, Ophthalmology, Retina Fellowship",18,"Dr. Patel is a renowned retinal specialist with expertise in diabetic retinopathy, macular degeneration, and retinal detachment surgery.",220.00,0.00,0,2025-05-30 15:40:00.345058+08,2025-05-30 15:40:00.345058+08
32,6,Cataract and Refractive Surgery,OPHT-2019-002,"MD, Ophthalmology, Cornea Fellowship",9,Dr. Anderson specializes in advanced cataract surgery and refractive procedures including LASIK and premium intraocular lens implantation.,200.00,0.00,0,2025-05-30 15:40:00.345058+08,2025-05-30 15:40:00.345058+08
33,6,Glaucoma and Corneal Diseases,OPHT-2022-003,"MD, Ophthalmology, Glaucoma Fellowship",4,Dr. Kim focuses on glaucoma management and corneal transplantation. He is skilled in minimally invasive glaucoma surgery techniques.,210.00,0.00,0,2025-05-30 15:40:00.345058+08,2025-05-30 15:40:00.345058+08
36,14,Family Medicine,FAM-2023-002,"MD, Family Medicine",5,Dr. Mitchell specializes in comprehensive family healthcare for patients of all ages.,190.00,0.00,0,2025-05-30 15:57:20.318571+08,2025-05-30 15:57:20.318571+08
37,14,Emergency Medicine,EM-2023-003,"MD, Emergency Medicine",7,Dr. Zhang has extensive experience in emergency care and trauma medicine.,250.00,0.00,0,2025-05-30 15:57:20.318571+08,2025-05-30 15:57:20.318571+08
129,1,Cardiology,MD12345,"MD, FACC - Board Certified Cardiologist",10,,150.00,0.00,0,2025-06-12 20:55:59.258856+08,2025-06-12 20:55:59.258856+08
130,5,Neurology,MD12346,"MD, PhD - Neurologist Specialist",8,,120.00,0.00,0,2025-06-12 20:55:59.258856+08,2025-06-12 20:55:59.258856+08
131,4,Orthopedics,MD12347,"MD, FAAOS - Orthopedic Surgeon",12,,180.00,0.00,0,2025-06-12 20:55:59.258856+08,2025-06-12 20:55:59.258856+08
132,2,Pediatrics,MD12348,"MD, FAAP - Pediatric Specialist",6,,100.00,0.00,0,2025-06-12 20:55:59.258856+08,2025-06-12 20:55:59.258856+08
133,66,Internal Medicine,MD12349,"MD, FACP - Internal Medicine",15,,200.00,0.00,0,2025-06-12 20:55:59.258856+08,2025-06-12 20:55:59.258856+08
